,Industry,Year,Metric,Attribute,Value,Scenario
1462,Government,2100,6-IndirectBusinessTaxes,Induced,-25321.322,Base Case
1463,Government,2100,6-IndirectBusinessTaxes,Total,-64447.916,Base Case
1464,Government,2100,7-TotalValueAdded,Direct,530231.766,Base Case
1465,Government,2100,7-TotalValueAdded,Indirect,383437.35,Base Case
1466,Government,2100,7-TotalValueAdded,Induced,3512146.114,Base Case
1467,Government,2100,7-TotalValueAdded,Total,4425815.236,Base Case
1468,Government,2100,8-Output,Direct,1126415.228,Base Case
1469,Government,2100,8-Output,Indirect,702537.56,Base Case
1470,Government,2100,8-Output,Induced,3853508.078,Base Case
1471,Government,2100,8-Output,Total,5682460.86,Base Case
1472,Government,2105,1-Employment,Direct,3.132,Base Case
1473,Government,2105,1-Employment,Indirect,2.546,Base Case
1474,Government,2105,1-Employment,Induced,40.564,Base Case
1475,Government,2105,1-Employment,Total,46.24,Base Case
1476,Government,2105,2-EmployeeCompensation,Direct,256019.334,Base Case
1477,Government,2105,2-EmployeeCompensation,Indirect,218053.12,Base Case
1478,Government,2105,2-EmployeeCompensation,Induced,2818602.762,Base Case
1479,Government,2105,2-EmployeeCompensation,Total,3292675.214,Base Case
1480,Government,2105,3-PropietorsIncome,Direct,0,Base Case
1481,Government,2105,3-PropietorsIncome,Indirect,0,Base Case
1482,Government,2105,3-PropietorsIncome,Induced,0,Base Case
1483,Government,2105,3-PropietorsIncome,Total,0,Base Case
1484,Government,2105,4-LaborIncome,Direct,256019.334,Base Case
1485,Government,2105,4-LaborIncome,Indirect,218053.12,Base Case
1486,Government,2105,4-LaborIncome,Induced,2818602.762,Base Case
1487,Government,2105,4-LaborIncome,Total,3292675.214,Base Case
1488,Government,2105,5-OtherPropertyTypeIncome,Direct,299507.924,Base Case
1489,Government,2105,5-OtherPropertyTypeIncome,Indirect,180655.024,Base Case
1490,Government,2105,5-OtherPropertyTypeIncome,Induced,724299.91,Base Case
1491,Government,2105,5-OtherPropertyTypeIncome,Total,1204462.858,Base Case
1492,Government,2105,6-IndirectBusinessTaxes,Direct,-24462.158,Base Case
1493,Government,2105,6-IndirectBusinessTaxes,Indirect,-14715.132,Base Case
1494,Government,2105,6-IndirectBusinessTaxes,Induced,-25357.436,Base Case
1495,Government,2105,6-IndirectBusinessTaxes,Total,-64534.73,Base Case
1496,Government,2105,7-TotalValueAdded,Direct,531065.096,Base Case
1497,Government,2105,7-TotalValueAdded,Indirect,383993.006,Base Case
1498,Government,2105,7-TotalValueAdded,Induced,3517545.244,Base Case
